,country,Year,shdi,healthindex,esch,msch,pop,lifexp,edindex,sgdi,TOTAL_IMPORT,GDP,gnic,FDI,area,YEARLY_IMFROM_CHINA,landlocked
2117,Libyan Arab Jamahiriya,2000,0.781,0.783,15.7,5.6,5357.891,70.9,0.623,.936,574816737.0,7180.158489,64987.0,141000000.0,1759540.0,2328816.5,0.0
2155,Madagascar,2000,0.463,0.592,8.2,5.2,15766.806,58.5,0.401,.938,514227960.5,285.518545,1583.0,82952580.71,587041.0,9478964.0,0.0
2174,Malawi,2000,0.387,0.386,9.9,3.0,11148.758,45.1,0.375,.879,359834342.75,282.576489,1422.0,25999996.36,118484.0,6845767.0,1.0
2231,Mali,2000,0.312,0.432,4.6,1.2,10946.445,48.1,0.168,.773,235728272.5,269.8711474,1615.0,60181780.68,1240142.0,4868574.0,1.0
2288,Mauritania,2000,0.465,0.626,6.5,3.0,2630.219,60.7,0.281,.806,373861453.5,676.5675639,4390.0,40096000.0,1030700.0,2762769.5,0.0
2307,Mauritius,2000,0.677,0.788,12.2,6.2,1186.873,71.2,0.546,.913,1183618846.0,4108.573596,12032.0,265641239.4,2045.0,9948468.0,0.0
2396,Morocco,2000,0.53,0.749,8.5,3.4,28793.679,68.7,0.349,.774,1354846385.0,1351.018895,4287.0,426553283.9,710850.0,7331875.5,0.0
2415,Mozambique,2000,0.306,0.445,5.8,2.2,17711.927,48.9,0.234,.838,296210918.0,319.3585362,617.0,139300000.0,801590.0,1929032.5,0.0
2567,Niger,2000,0.263,0.46,2.9,1.1,11331.557,49.9,0.117,.716,172134457.5,203.0960309,928.0,15767212.37,1267000.0,2706890.5,1.0
2947,Rwanda,2000,0.341,0.44,7.2,2.3,7933.681,48.6,0.277,.888,125794589.25,260.6958502,860.0,8100000.0,26338.0,1252738.8,1.0
3061,Sao Tome and Principe,2000,0.498,0.637,9.4,4.2,142.262,61.4,0.401,.863,132452065.625,509.3801126,2434.0,3800000.0,964.0,11402.14,0.0
3099,Senegal,2000,0.39,0.582,5.4,1.9,9797.734,57.8,0.213,.814,346221688.5,617.9968625,2356.0,81643690.12,196722.0,2857841.0,0.0
3151,Sierra Leone,2000,0.295,0.298,7.0,2.3,4584.571,39.4,0.271,.771,152907031.0,187.7276045,824.0,39000824.52,73326.0,1078004.5,0.0
3273,South Africa,2000,0.631,0.554,13.0,8.8,44967.708,56.0,0.654,.96,13911895824.0,3078.559,9881.0,968831356.0,1219912.0,6633955000.0,0.0
3500,Togo,2000,0.427,0.515,9.4,4.0,4924.402,53.5,0.394,.782,221081737.375,302.2064051,1253.0,52818330.99,56785.0,2396993.2,0.0
3557,Tunisia,2000,0.651,0.818,13.1,4.9,9708.35,73.2,0.527,.844,2045236368.0,2211.861227,6944.0,750720443.6,164150.0,19594632.0,0.0
3671,Uganda,2000,0.404,0.403,10.8,3.9,23650.172,46.2,0.43,.884,973877752.0,286.6259702,1230.0,160700000.0,241038.0,10900440.0,1.0
3765,"Tanzania, United Rep. of ",2000,0.389,0.474,6.2,4.2,33499.18,50.8,0.312,.885,589373844.5,379.6267796,1396.0,463400858.8,945090.0,10556614.0,0.0
3918,Zambia,2000,0.425,0.369,9.8,5.9,10415.944,44.0,0.469, ,495340636.0,345.6844983,1879.0,121700000.0,752614.0,8180038.0,1.0
3937,Zimbabwe,2000,0.43,0.378,9.8,6.5,11881.477,44.6,0.489,.89,465576956.5,733.9588613,1717.0,23200000.0,390759.0,6010408.5,1.0
